Column,Description,Role,Data Type,Business Category
Count,Record count associated with each customer entry.,Feature,int64,Identifier/Record
Zip Code,Postal ZIP code associated with the customer's location.,Feature,int64,Demographic/Location
Gender,Gender of the customer.,Feature,object,Demographic
Senior Citizen,Indicates whether the customer is a senior citizen.,Feature,int64,Demographic
Partner,Indicates whether the customer has a partner.,Feature,int64,Demographic
Dependents,Indicates whether the customer has dependents.,Feature,int64,Demographic
Tenure Months,Number of months the customer has remained with the company.,Feature,int64,Account
Phone Service,Indicates whether the customer has phone service.,Feature,int64,Service
Multiple Lines,Indicates whether the customer has multiple telephone lines.,Feature,int64,Service
Internet Service,Type of internet service subscribed to by the customer.,Feature,object,Service
Online Security,Indicates whether the customer has an online security service.,Feature,int64,Service
Online Backup,Indicates whether the customer has an online backup service.,Feature,int64,Service
Device Protection,Indicates whether the customer has device protection service.,Feature,int64,Service
Tech Support,Indicates whether the customer has technical support service.,Feature,int64,Service
Streaming TV,Indicates whether the customer has a streaming television service.,Feature,int64,Service
Streaming Movies,Indicates whether the customer has a streaming movie service.,Feature,int64,Service
Contract,Type and duration of the customer's contract.,Feature,object,Account
Paperless Billing,Indicates whether the customer uses paperless billing.,Feature,int64,Billing
Payment Method,Method used by the customer to make payments.,Feature,int64,Billing
Total Frequency,Frequency-related measure associated with the customer's service or billing activity.,Feature,int64,Account/Billing
Monthly Charges,Amount charged to the customer per month.,Feature,float64,Billing
Total Charges,Total amount charged to the customer during their relationship with the company.,Feature,object,Billing
Churn Label,Target variable indicating whether the customer churned (Yes) or remained with the company (No).,Target,object,Target
Churn Value,Numeric representation of the customer's churn status.,Excluded,int64,Target Indicator
Churn Score,Score representing the customer's estimated likelihood or risk of churn.,Excluded,int64,Churn Risk
CLTV_final,Final Customer Lifetime Value (CLTV) measure associated with the customer.,Feature,float64,Customer Value
CLTV,"Customer Lifetime Value, representing the estimated value of the customer to the company.",Feature,float64,Customer Value
Churn Reason,"Reason associated with the customer's churn, where applicable.",Excluded,object,Churn Information
