Feature,Category,Customer_Count,Churn_Rate_Percent
Gender,Female,3488,26.92
Gender,Male,3555,26.16
Senior Citizen,0.0,5901,23.61
Senior Citizen,1.0,1142,41.68
Partner,0.0,3641,32.96
Partner,1.0,3402,19.66
Dependents,0.0,5416,32.55
Dependents,1.0,1627,6.52
Phone Service,0.0,682,24.93
Phone Service,1.0,6361,26.71
Multiple Lines,0.0,4072,25.02
Multiple Lines,1.0,2971,28.61
Internet Service,DSL,2421,18.96
Internet Service,Fiber optic,3096,41.89
Internet Service,No,1526,7.4
Online Security,0.0,5024,31.33
Online Security,1.0,2019,14.61
Online Backup,0.0,4614,29.17
Online Backup,1.0,2429,21.53
Device Protection,0.0,4621,28.65
Device Protection,1.0,2422,22.5
Tech Support,0.0,4999,31.19
Tech Support,1.0,2044,15.17
Streaming TV,0.0,4336,24.33
Streaming TV,1.0,2707,30.07
Streaming Movies,0.0,4311,24.38
Streaming Movies,1.0,2732,29.94
Contract,Month-to-month,3875,42.71
Contract,One year,1473,11.27
Contract,Two year,1695,2.83
Paperless Billing,0.0,2872,16.33
Paperless Billing,1.0,4171,33.57
Payment Method,0.0,3977,34.67
Payment Method,1.0,3066,15.98
Is_New_Customer,0.0,4857,17.13
Is_New_Customer,1.0,2186,47.44
Tenure_Band,0-6,1481,52.94
Tenure_Band,13-24,1024,28.71
Tenure_Band,25-48,1594,20.39
Tenure_Band,49+,2239,9.51
Tenure_Band,7-12,705,35.89
Is_Month_to_Month,0.0,3168,6.76
Is_Month_to_Month,1.0,3875,42.71
High_Monthly_Charge,0.0,3519,17.93
High_Monthly_Charge,1.0,3524,35.13
Fiber_Monthly_Risk,0.0,4915,14.38
Fiber_Monthly_Risk,1.0,2128,54.61
New_High_Spend,0.0,6209,20.89
New_High_Spend,1.0,834,68.59
New_Monthly_Customer,0.0,5049,16.74
New_Monthly_Customer,1.0,1994,51.35
Security_Tech_Bundle,0.0,5944,29.78
Security_Tech_Bundle,1.0,1099,9.01
