Action,Feature,Reason
Dropped,Zip Code,High-cardinality location identifier; excluded from the predictive feature set.
Leakage Check,"Churn Label, Churn Score, Churn Reason",Excluded if present because they can reveal target/outcome information.
Dropped,Total Frequency,Exact sum of the individual service indicator columns.
Dropped,CLTV,Correlation with Total Charges = 0.9996.
Created,Is_New_Customer,Identifies customers with tenure <= 12 months.
Created,Tenure_Band,Segments customers into lifecycle/tenure stages.
Created,Is_Month_to_Month,Identifies month-to-month contract customers.
Created,High_Monthly_Charge,Identifies monthly charges >= dataset median (70.35).
Created,Fiber_Monthly_Risk,Interaction: fiber-optic service + month-to-month contract.
Created,New_High_Spend,Interaction: new customer + relatively high monthly charge.
Created,New_Monthly_Customer,Interaction: new customer + month-to-month contract.
Created,Support_Service_Count,"Count of Online Security, Online Backup, Device Protection, and Tech Support."
Created,Security_Tech_Bundle,Identifies customers with both Online Security and Tech Support.
