,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Is_New_Customer,Is_Month_to_Month,High_Monthly_Charge,Fiber_Monthly_Risk,New_High_Spend,New_Monthly_Customer,Support_Service_Count,Security_Tech_Bundle
Senior Citizen,1.0,0.016478657597413904,-0.17439594175545745,0.0165668776818091,0.008576401079279986,0.1429481747627622,-0.03865270449719515,0.06657213514513469,0.05942849428693307,-0.060624590693563324,0.10537766784282443,0.12017625118896594,0.15652955931117316,-0.03351965273377642,0.22017333857627225,0.10300618407952568,0.15088932817647407,-0.028686587296101455,0.13836046440264307,0.2115564595606657,0.24408156590044988,0.07602936856024924,-0.004549555117522304,0.011562366044031902,-0.058594590253261865
Partner,0.016478657597413904,1.0,0.3634301578720123,0.3796974611682927,0.017705663223971484,0.14205707936228656,0.14310622750264396,0.1414980194722812,0.1537864356307795,0.11999886976431628,0.12466580056491713,0.11741185447194508,-0.01487662228789139,0.16047508253828444,0.09684793625647468,0.3175040180528827,-0.15044754495917692,-0.3027181261076751,-0.2808652261083152,0.0828490532457115,-0.11626394636485181,-0.17310927315576435,-0.3122963991752032,0.20165228613972014,0.1332189871584008
Dependents,-0.17439594175545745,0.3634301578720123,1.0,0.13137551504335263,0.0006247938107222133,-0.0275099410723372,0.05035302636629465,0.003457039135999896,-0.02234341603607504,0.028811081683436685,-0.05771698740499047,-0.07336420883137078,-0.11896345342208933,0.07455308899896812,-0.14420592087696438,0.030589709272461147,-0.24854222642328383,-0.11430851367330316,-0.17549600603625534,-0.12604296580294932,-0.19704436086225655,-0.13310431897820513,-0.13731246941412814,0.020886251632011313,0.052096460661995206
Tenure Months,0.0165668776818091,0.3796974611682927,0.13137551504335263,1.0,0.008448206732742469,0.33194055560918684,0.3272027731682457,0.36027698898467325,0.3606528669324745,0.324220771999364,0.27975608223591575,0.28611058777846204,0.006152481598270217,0.3966255537966342,0.24789985628614994,0.826178397950243,-0.352228670113079,-0.7550672224012673,-0.6455614232660691,0.19582634402073507,-0.2898071537535459,-0.40653521658342895,-0.7138664308919477,0.49555663924338483,0.3345761061111632
Phone Service,0.008576401079279986,0.017705663223971484,0.0006247938107222133,0.008448206732742469,1.0,0.27968999474291184,-0.09289270011220939,-0.05231224294763578,-0.07122688671747536,-0.09633961826825965,-0.02257359179493685,-0.032958892364780834,0.016504805732570422,-0.00010435734464750814,0.24739796321413535,0.11321354444457549,0.011941980029006627,-0.007597855093575561,-0.0007424302790401404,0.327670848687508,0.21545349343001402,0.1200056476064164,9.215038312545836e-05,-0.1122407997412079,-0.08147085960863139
Multiple Lines,0.1429481747627622,0.14205707936228656,-0.0275099410723372,0.33194055560918684,0.27968999474291184,1.0,0.09810813969726394,0.20223701632049468,0.20113653254496072,0.10057130998573958,0.25715163510824757,0.25875149199377917,0.1635301742129282,0.11287195869251088,0.49043396944002876,0.4685038161636612,0.04010212769982595,-0.2629502797239438,-0.08820313233782136,0.4792388882652528,0.19993783055132458,0.03131118858193561,-0.23557678806022464,0.2189020101241846,0.0819196765453681
Online Security,-0.03865270449719515,0.14310622750264396,0.05035302636629465,0.3272027731682457,-0.09289270011220939,0.09810813969726394,1.0,0.283832233532723,0.27543797874378795,0.3549307078927629,0.17620730704239457,0.1873983309262497,-0.00363589714847452,0.1754694330612649,0.2965941920005662,0.41165052665218427,-0.171226291948553,-0.24137094634477718,-0.24667886763136143,0.15622783291490047,-0.17506759249492684,-0.132241473090344,-0.23390585873838676,0.6831294588169577,0.6782910735973051
Online Backup,0.06657213514513469,0.1414980194722812,0.003457039135999896,0.36027698898467325,-0.05231224294763578,0.20223701632049468,0.283832233532723,1.0,0.30354620901132795,0.2942328784068944,0.2821064219717711,0.2745012019605013,0.12673537300697296,0.14796470355281185,0.441780094359475,0.5092260122231456,-0.08225486893814218,-0.2665951736752328,-0.16417233309254106,0.3122326871198446,-0.027261609380670987,-0.10043048274387939,-0.2464478040201823,0.684966751547545,0.2551490588743941
Device Protection,0.05942849428693307,0.1537864356307795,-0.02234341603607504,0.3606528669324745,-0.07122688671747536,0.20113653254496072,0.27543797874378795,0.30354620901132795,1.0,0.3333125623154383,0.3908740269195827,0.40211053776617356,0.1037968049815421,0.16196109362805206,0.48269204827329604,0.5219828797812002,-0.06615979128029065,-0.2731272155610815,-0.22566200253940216,0.3563883668819261,-0.035667919599523985,-0.06920273159429169,-0.25857164328066196,0.695624442133844,0.2759921968656393
Tech Support,-0.060624590693563324,0.11999886976431628,0.028811081683436685,0.324220771999364,-0.09633961826825965,0.10057130998573958,0.3549307078927629,0.2942328784068944,0.3333125623154383,1.0,0.27807020363725476,0.2793584789284251,0.037879900207281145,0.18184303247535988,0.3383042642201546,0.4318827713274981,-0.16467355590159374,-0.23762202396427706,-0.285241310295562,0.20038739263016234,-0.19456259870797163,-0.12687895695573112,-0.2331057132158212,0.7091661260594835,0.6724508834388847
