Encoded_Feature,VIF
Monthly Charges,37.06901659850268
Total Charges,18.020805699876338
Internet Service_Fiber optic,12.37887058402345
Tenure Months,10.885645784676043
Fiber_Monthly_Risk,6.20473755480504
Internet Service_No,4.842464735978494
New_Monthly_Customer,3.5601253018603174
Contract_Two year,3.540130709280437
Security_Tech_Bundle,3.3247052734349833
New_High_Spend,2.8665187635422087
Contract_One year,2.745044296195429
Tech Support,2.644392871134119
Online Security,2.631294471734398
Streaming TV,2.453993662322799
Streaming Movies,2.439789964210299
Multiple Lines,1.9399880736554143
Device Protection,1.702296597018666
Online Backup,1.6460693576674217
Partner,1.3453830264593556
Dependents,1.2513176886066866
Payment Method,1.2109132105337101
Paperless Billing,1.2043564457454243
Senior Citizen,1.135443234736122
