row_index,split
0,train
1,train
2,train
3,train
4,train
5,test
6,train
7,train
8,train
9,train
10,train
11,test
12,test
13,train
14,train
15,test
16,test
17,train
18,test
19,train
20,train
21,train
22,train
23,train
24,train
25,test
26,test
27,train
28,train
29,test
30,train
31,train
32,train
33,test
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,test
44,test
45,train
46,train
47,test
48,train
49,train
50,train
51,train
52,train
53,test
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,test
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,test
72,train
73,train
74,train
75,test
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,test
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,test
99,train
100,train
101,train
102,test
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,test
113,train
114,train
115,test
116,train
117,train
118,train
119,train
120,test
121,test
122,train
123,train
124,test
125,train
126,train
127,train
128,train
129,test
130,train
131,train
132,train
133,train
134,test
135,test
136,train
137,train
138,train
139,train
140,test
141,train
142,train
143,test
144,test
145,test
146,train
147,test
148,train
149,test
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,test
159,train
160,train
161,train
162,test
163,train
164,test
165,test
166,train
167,train
168,train
169,train
170,test
171,train
172,test
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,test
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,test
195,train
196,train
197,train
198,train
199,train
200,test
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,test
221,train
222,train
223,test
224,test
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,test
237,train
238,test
239,train
240,test
241,train
242,train
243,train
244,test
245,train
246,train
247,train
248,train
249,train
250,test
251,train
252,test
253,train
254,train
255,train
256,train
257,test
258,train
259,train
260,train
261,test
262,train
263,train
264,train
265,train
266,train
267,train
268,test
269,train
270,train
271,train
