feature,importance
Tenure Months,0.16362782217473082
Total Charges,0.1385539705033016
Contract_Month-to-month,0.12970610470747906
Monthly Charges,0.1196112221933301
Internet Service_Fiber optic,0.08518953557042976
Dependents,0.06553065169516611
Contract_Two year,0.04600544809183479
Internet Service_No,0.03230286570248592
Payment Method,0.02561771782484033
Paperless Billing,0.02498744424441942
Online Security,0.022134741391684993
Contract_One year,0.02009198198451331
Internet Service_DSL,0.01996748546330457
Tech Support,0.018572275863667144
Partner,0.015006697380552634
Multiple Lines,0.014410659974884294
Streaming TV,0.01386865825445381
Online Backup,0.0127248563018729
Streaming Movies,0.012486544084327679
Senior Citizen,0.010930195726536673
Device Protection,0.008673120866184155
