feature,importance
Fiber_Monthly_Risk,0.28601676
Contract,0.19120903
New_Monthly_Customer,0.111860424
New_High_Spend,0.063553855
Dependents,0.056720067
Internet Service,0.038562372
Streaming Movies,0.029184781
Tenure Months,0.02889993
Paperless Billing,0.027760379
Online Security,0.025381174
Payment Method,0.02197689
Streaming TV,0.01901374
Monthly Charges,0.017947253
Security_Tech_Bundle,0.013559579
Total Charges,0.012698368
Tech Support,0.012467917
Partner,0.011864154
Online Backup,0.009038332
Multiple Lines,0.008756529
Senior Citizen,0.0070225284
Device Protection,0.006505916
