original_row_index,churn_probability,true_churn
2196,0.11086535,0
3549,0.89901996,0
3515,0.26752794,0
5162,0.6644108,0
4642,0.06789125,0
6096,0.8072504,0
4504,0.7578096,0
4067,0.17146286,0
6233,0.01184286,0
430,0.5591161,1
3396,0.14788936,0
2815,0.115562096,0
2368,0.39757416,0
917,0.85689175,1
5769,0.21731143,0
2231,0.014985109,0
6375,0.019088194,0
3437,0.51702243,0
6655,0.5218091,0
5822,0.21974438,0
1727,0.8738637,1
2787,0.43541834,0
3060,0.12726647,0
5617,0.030429881,0
5843,0.6189863,0
4802,0.49068618,0
186,0.7247482,1
1615,0.8675341,1
6321,0.024887906,0
1459,0.88687253,1
3227,0.7006791,0
6997,0.6451045,0
5074,0.017642133,0
4494,0.052049622,0
89,0.89470214,1
4544,0.115397625,0
240,0.7050414,1
4603,0.011628516,0
1760,0.9158618,1
648,0.4139608,1
5450,0.04383249,0
3732,0.9135299,0
5850,0.6112186,0
2989,0.45519814,0
4608,0.1851554,0
223,0.857766,1
4464,0.8503633,0
6368,0.6144079,0
4296,0.017421136,0
134,0.574066,1
2637,0.05700341,0
590,0.9263628,1
6390,0.32347497,0
4836,0.47031552,0
3533,0.6003556,0
1665,0.8220116,1
6258,0.041492537,0
6001,0.026488665,0
5992,0.03947792,0
3692,0.010701948,0
5496,0.010125273,0
1334,0.10801593,1
2532,0.041143313,0
1963,0.31659934,0
891,0.58961624,1
881,0.771082,1
1862,0.56118786,1
829,0.5946523,1
1578,0.3549304,1
1387,0.9253054,1
5383,0.010645659,0
5152,0.060359385,0
75,0.7094959,1
4906,0.037895303,0
4600,0.027762398,0
3136,0.1130774,0
5709,0.030561812,0
387,0.7823418,1
4245,0.4043645,0
5211,0.0628935,0
4240,0.1130774,0
2622,0.06733025,0
414,0.4606325,1
158,0.9266209,1
5391,0.03341723,0
4707,0.7062435,0
6514,0.85435295,0
834,0.77017885,1
1204,0.8312751,1
6641,0.33038205,0
1048,0.73056734,1
2945,0.6661583,0
3542,0.059227448,0
525,0.7094959,1
617,0.66304815,1
5359,0.06971681,0
6643,0.45564827,0
6972,0.055010036,0
349,0.8284626,1
5667,0.3655954,0
637,0.86334324,1
588,0.79304993,1
2023,0.46984664,0
431,0.70012903,1
261,0.50195044,1
6730,0.013066997,0
6068,0.35978746,0
2722,0.2853296,0
6528,0.034025352,0
4529,0.085206605,0
2662,0.14957543,0
4797,0.8503403,0
4205,0.4332155,0
6384,0.71356946,0
47,0.8289112,1
5326,0.11815713,0
915,0.73597336,1
2739,0.7071439,0
3053,0.02178357,0
3086,0.057185963,0
3473,0.11618143,0
470,0.8724466,1
3554,0.11785013,0
3019,0.15281804,0
1416,0.90605426,1
6435,0.08926695,0
519,0.7295628,1
5712,0.46783474,0
999,0.77281666,1
4961,0.27101946,0
1689,0.57911146,1
1362,0.52366114,1
2373,0.3685978,0
2092,0.32603133,0
5625,0.109303124,0
6424,0.39283264,0
3537,0.07350011,0
5415,0.30704737,0
4991,0.04470467,0
102,0.70767707,1
2638,0.028074842,0
7013,0.3448539,0
2432,0.7954997,0
3622,0.025641683,0
4613,0.062046416,0
3896,0.29750368,0
3904,0.2315594,0
25,0.14202277,1
3200,0.72524107,0
2745,0.3453521,0
3850,0.08422421,0
4874,0.79903674,0
6457,0.18447177,0
4262,0.47076675,0
1337,0.8653594,1
3630,0.26666024,0
5400,0.7843181,0
44,0.71520793,1
796,0.82030004,1
656,0.7165914,1
5453,0.29215306,0
3443,0.18878683,0
4968,0.011208108,0
3238,0.01654011,0
4218,0.24139681,0
975,0.31176856,1
6699,0.16376366,0
843,0.46357995,1
4348,0.27791217,0
4929,0.0975697,0
5237,0.7049288,0
579,0.91874516,1
3193,0.104412936,0
657,0.588575,1
2015,0.73699975,0
2286,0.71344185,0
6040,0.063662216,0
3827,0.0661664,0
3786,0.65423244,0
4851,0.48450825,0
404,0.7799915,1
5582,0.038614508,0
1092,0.85207564,1
53,0.6272559,1
3591,0.010843394,0
6954,0.57873374,0
2122,0.074431196,0
1857,0.732361,1
2544,0.27577427,0
6334,0.014328671,0
4027,0.57338464,0
7022,0.75185186,0
702,0.76007986,1
6649,0.072606035,0
4034,0.2637312,0
4427,0.7007453,0
6621,0.5908226,0
6005,0.43103844,0
3975,0.69087505,0
3411,0.42145783,0
5147,0.26627976,0
4260,0.016030682,0
4773,0.029694827,0
4582,0.09285688,0
5989,0.35613012,0
5615,0.18557729,0
5505,0.33092102,0
4237,0.3732883,0
4359,0.60775787,0
6081,0.060347322,0
1088,0.38516292,1
4937,0.70217156,0
1010,0.37028646,1
2861,0.081580095,0
1874,0.12622091,0
5565,0.487859,0
2673,0.07011335,0
5163,0.7434728,0
1411,0.7434126,1
1001,0.2670933,1
5334,0.23484987,0
4020,0.31945488,0
5214,0.6635716,0
3016,0.21894515,0
5745,0.86133105,0
2884,0.029684262,0
4987,0.058018666,0
5223,0.2954744,0
1350,0.85441935,1
2131,0.87963146,0
2932,0.04039172,0
1032,0.829373,1
5379,0.7440044,0
3824,0.09846883,0
598,0.92263526,1
985,0.8624722,1
1812,0.65241027,1
1983,0.3492755,0
4212,0.3585558,0
5463,0.7736256,0
795,0.78289735,1
830,0.7980952,1
5103,0.15096319,0
5212,0.32832104,0
879,0.64851105,1
662,0.7801269,1
1404,0.84163034,1
6480,0.1248096,0
2609,0.024265291,0
4868,0.68408966,0
3175,0.13652086,0
4830,0.17466497,0
2935,0.21706444,0
6814,0.017667852,0
1450,0.45761657,1
6823,0.07009327,0
4625,0.14034276,0
6137,0.6425555,0
6039,0.53484046,0
3985,0.69742364,0
4685,0.7129768,0
4061,0.30608466,0
2405,0.051462036,0
5321,0.15678193,0
762,0.85845405,1
1217,0.11216687,1
124,0.81582135,1
2844,0.14026937,0
4581,0.6583809,0
6025,0.82030004,0
6857,0.7108726,0
4925,0.06100106,0
4700,0.67892194,0
6396,0.3939078,0
4739,0.01359219,0
6145,0.85383797,0
619,0.907803,1
3502,0.737665,0
623,0.92372,1
2254,0.26225963,0
4459,0.6413216,0
5564,0.27283913,0
2381,0.7347632,0
4675,0.13509013,0
5546,0.8117656,0
607,0.8998662,1
1316,0.50438327,1
4578,0.14208077,0
569,0.7682322,1
5914,0.028309213,0
5425,0.6001365,0
2770,0.088536404,0
4973,0.0145064145,0
5605,0.08655383,0
5052,0.04660998,0
3707,0.046417564,0
2536,0.6017547,0
143,0.20198078,1
2382,0.12713775,0
6668,0.2004217,0
4429,0.012085734,0
1513,0.6353335,1
4012,0.7657662,0
4323,0.16035774,0
1633,0.8879257,1
6324,0.48453954,0
2858,0.27095115,0
4828,0.06064017,0
3845,0.3306893,0
2840,0.34718195,0
2093,0.8353127,0
6295,0.77886766,0
3036,0.13154155,0
4792,0.035681464,0
4936,0.2066129,0
4740,0.11845192,0
5911,0.025878116,0
6623,0.059933994,0
495,0.7205145,1
826,0.8181627,1
3863,0.73272914,0
6510,0.7974835,0
840,0.64205,1
3974,0.24385653,0
7035,0.60463816,0
3014,0.12963653,0
969,0.37444213,1
5009,0.31000966,0
2535,0.19553015,0
6606,0.078238264,0
4005,0.57911146,0
528,0.53336614,1
5902,0.09267607,0
2701,0.21415739,0
5692,0.008077545,0
5124,0.011843089,0
280,0.7491962,1
5544,0.29304644,0
6199,0.014181904,0
4196,0.023175664,0
4021,0.008642658,0
200,0.8979065,1
6007,0.4165055,0
1237,0.6694228,1
1782,0.91586256,1
1840,0.22749676,1
6979,0.060926583,0
397,0.7317921,1
5136,0.45540097,0
287,0.8301261,1
6355,0.06909604,0
1015,0.25641432,1
7037,0.31743908,0
6210,0.5790983,0
6158,0.010472396,0
4324,0.48514548,0
4680,0.3633777,0
3777,0.28564993,0
5263,0.032345474,0
732,0.89263237,1
482,0.7986911,1
6077,0.02656971,0
4819,0.04244597,0
4635,0.61043805,0
4302,0.15378277,0
1729,0.40680614,1
4057,0.5820897,0
2699,0.21415918,0
4899,0.10255398,0
3576,0.5090928,0
1580,0.86903083,1
5169,0.80585665,0
2449,0.6321585,0
4928,0.5531768,0
709,0.40179297,1
6338,0.27392536,0
4406,0.2332589,0
2101,0.6329564,0
629,0.3021588,1
2783,0.11536964,0
4377,0.038368262,0
6452,0.5702979,0
5933,0.018612925,0
4941,0.84573066,0
415,0.6144079,1
5930,0.4103107,0
1677,0.58874947,1
1354,0.84215415,1
6762,0.09851759,0
15,0.48656046,1
3385,0.11916495,0
2472,0.13646401,0
1878,0.74812025,0
2528,0.1808573,0
6362,0.41953722,0
5314,0.16289316,0
6564,0.024659773,0
5887,0.021910055,0
2578,0.012814233,0
406,0.82030004,1
3117,0.111976445,0
4955,0.5802468,0
3083,0.10712018,0
3855,0.3245061,0
2822,0.049248375,0
3931,0.45575643,0
165,0.1571688,1
6169,0.59531707,0
1293,0.82304317,1
6834,0.21214215,0
1482,0.60518813,1
1256,0.705889,1
1220,0.8081124,1
1271,0.759742,1
4631,0.1874546,0
1873,0.4630458,0
6087,0.6001365,0
1323,0.8673802,1
998,0.11535634,1
605,0.5954653,1
2006,0.30162302,0
5984,0.25815234,0
2639,0.5284159,0
848,0.6497536,1
3865,0.011945072,0
2443,0.62228084,0
6521,0.49564153,0
6044,0.82191664,0
1996,0.05601893,0
3789,0.0099661285,0
2170,0.08363219,0
5681,0.40917537,0
6360,0.17896475,0
4781,0.30857354,0
5026,0.37582588,0
1635,0.87670326,1
2492,0.20617071,0
2475,0.10823598,0
6118,0.31116727,0
3017,0.5145475,0
6379,0.45653352,0
1824,0.585452,1
3400,0.20829585,0
5732,0.49925274,0
1116,0.422514,1
2379,0.5153409,0
3696,0.07529205,0
2729,0.17544885,0
3440,0.6828948,0
4062,0.8107795,0
4666,0.7724331,0
4648,0.12351647,0
6991,0.39763838,0
5171,0.32904193,0
6702,0.8926655,0
2812,0.011925637,0
1641,0.53609,1
2428,0.085081264,0
3439,0.09261991,0
1557,0.392086,1
5044,0.09442108,0
581,0.43410227,1
3693,0.060055267,0
4165,0.07832745,0
6826,0.009545594,0
3165,0.25460926,0
3362,0.21637014,0
2273,0.662436,0
5288,0.24290721,0
2793,0.103591174,0
1791,0.429511,1
6974,0.117606156,0
2469,0.18247105,0
4834,0.27591246,0
4977,0.04024064,0
6596,0.010263316,0
3775,0.14886563,0
3547,0.56777525,0
112,0.75729376,1
494,0.680292,1
4495,0.6158711,0
4304,0.7221211,0
6141,0.0122605655,0
674,0.31783906,1
3025,0.88599634,0
4019,0.078494385,0
3603,0.06469932,0
3234,0.07050542,0
284,0.86665756,1
6434,0.66998744,0
2343,0.6754521,0
4562,0.7991097,0
3944,0.045039337,0
6071,0.630946,0
2635,0.06205738,0
6932,0.85689026,0
5792,0.05118173,0
120,0.63583714,1
2124,0.105385356,0
5015,0.79128313,0
4163,0.073022075,0
5821,0.5677662,0
2885,0.7974835,0
2601,0.010665087,0
2361,0.28688073,0
2129,0.09763511,0
5179,0.5341871,0
4844,0.04718826,0
952,0.6871346,1
3119,0.07537617,0
236,0.88090533,1
1119,0.28571412,1
2339,0.19629337,0
3125,0.15283112,0
1012,0.64472824,1
6988,0.30742687,0
4804,0.16183953,0
3257,0.39754465,0
4722,0.6338883,0
3584,0.30493027,0
6818,0.2255265,0
5135,0.44507363,0
4169,0.059112445,0
1360,0.7878387,1
1151,0.31666577,1
252,0.6800787,1
5286,0.35466313,0
1946,0.55673856,0
2890,0.3334322,0
4900,0.012793043,0
3424,0.27620536,0
3087,0.19562398,0
6498,0.057144552,0
1053,0.86084235,1
1187,0.12815104,1
6592,0.47974893,0
3551,0.5771034,0
4360,0.066928826,0
1776,0.8037876,1
1240,0.42559445,1
1620,0.54429793,1
6461,0.36760783,0
172,0.8900046,1
5318,0.10589382,0
1630,0.7013666,1
2864,0.17300525,0
3232,0.20158209,0
3867,0.03745351,0
5173,0.7662012,0
3726,0.05936474,0
1094,0.25300524,1
5541,0.029315548,0
2629,0.73527503,0
4485,0.3998413,0
2210,0.06402786,0
5301,0.83065486,0
799,0.8227155,1
399,0.72594273,1
