Count,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Total Frequency,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV_final,CLTV,Churn Reason
1,90003,Male,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,0,3,53.85,108.15,Yes,1,86,107.7,107.7,Competitor made better offer
1,90005,Female,0,0,1,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,0,1,70.7,151.65,Yes,1,67,141.4,141.4,Moved
1,90006,Female,0,0,1,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,0,5,99.65,820.5,Yes,1,86,797.2,797.2,Moved
1,90010,Female,0,1,1,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,0,6,104.8,3046.05,Yes,1,84,2934.4,2934.4,Moved
1,90015,Male,0,0,1,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,1,6,103.7,5036.3,Yes,1,89,5081.3,5081.3,Competitor had better devices
1,90020,Female,0,1,0,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,1,3,55.2,528.35,Yes,1,78,552.0,552.0,Competitor offered higher download speeds
1,90022,Male,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,0,2,39.65,39.65,Yes,1,100,39.65,39.65,Competitor offered more data
1,90024,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,0,1,20.15,20.15,Yes,1,92,20.15,20.15,Competitor made better offer
1,90028,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,0,5,99.35,4749.15,Yes,1,77,4669.45,4669.45,Competitor had better devices
1,90029,Male,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,0,1,30.2,30.2,Yes,1,97,30.2,30.2,Competitor had better devices
1,90032,Female,0,0,0,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,0,3,64.7,1093.1,Yes,1,74,1099.9,1099.9,Competitor offered higher download speeds
1,90039,Male,0,0,1,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,0,1,69.7,316.9,Yes,1,66,348.5,348.5,Competitor offered higher download speeds
