Feature,Chi_Square,Degrees_of_Freedom,P_Value,Cramers_V,Association_Strength,Minimum_Expected_Count,Expected_Count_Assumption_OK,FDR_Adjusted_P_Value,Statistically_Significant_FDR_0.05
Fiber_Monthly_Risk,1230.2390574943533,1,1.635219127120385e-269,0.4182920551078242,Strong,564.7070850489848,True,3.924525905088924e-268,True
Contract,1184.5965720837926,2,5.863038300673391e-258,0.4101156965761409,Strong,390.889819679114,True,7.035645960808069e-257,True
Is_Month_to_Month,1153.9716611093477,1,6.147585925549192e-253,0.40510291068798987,Strong,840.6917506744285,True,4.918068740439354e-252,True
Tenure_Band,927.329274556515,4,1.9959341029566983e-199,0.362859201765909,Moderate,187.08575890955558,True,1.197560461774019e-198,True
New_Monthly_Customer,876.960929434258,1,1.0007137500390905e-192,0.3532240877834759,Moderate,529.1475223626296,True,4.803426000187634e-192,True
New_High_Spend,855.5316784808491,1,4.560078604340264e-188,0.3490268680426405,Moderate,221.31847224194235,True,1.8240314417361057e-187,True
Internet Service,732.309589667794,2,9.571788222840544e-160,0.32245455521230887,Moderate,404.9544228311799,True,3.281755962116758e-159,True
Is_New_Customer,708.7827396812202,1,3.6800740069807106e-156,0.3175800722020233,Moderate,580.0985375550192,True,1.1040222020942132e-155,True
Dependents,433.7343787644573,1,2.5009723998553557e-96,0.2485422264232831,Moderate,431.7567797813432,True,6.669259732947616e-96,True
Payment Method,309.3485572016955,1,3.0278725722859463e-69,0.2099020635913274,Moderate,813.6240238534715,True,7.266894173486271e-69,True
High_Monthly_Charge,266.2953307567019,1,7.283600092837096e-60,0.1947693291804561,Weak,933.8365753230157,True,1.5891491111644574e-59,True
Paperless Billing,258.27764906707307,1,4.073354668665985e-58,0.1918253316664679,Weak,762.1422689194945,True,8.14670933733197e-58,True
Online Security,205.63310416062058,1,1.2320984831180025e-46,0.1712262919485527,Weak,535.7817691324719,True,2.27464335344862e-46,True
Security_Tech_Bundle,204.17527331335978,1,2.5629467770715876e-46,0.170707028679764,Weak,291.6414880022718,True,4.393623046408436e-46,True
Tech Support,190.16684201526067,1,2.9235674453140758e-43,0.1646735559015938,Weak,542.4160159023144,True,4.6777079125025214e-43,True
Senior Citizen,159.42630036838742,1,1.510066805092378e-36,0.1508893281764731,Weak,303.0523924464007,True,2.2651002076385668e-36,True
Partner,158.7333820309922,1,2.1399113440759935e-36,0.15044754495917653,Weak,902.7883004401533,True,3.021051309283756e-36,True
Online Backup,47.260854003612764,1,6.214092807254819e-12,0.08225486893814254,Very weak,644.5834161578873,True,8.285457076339758e-12,True
Device Protection,30.513394539261306,1,3.315693222362861e-08,0.06615979128028988,Very weak,642.7258270623314,True,4.188244070353088e-08,True
Streaming TV,27.862522274233417,1,1.3024835736732686e-07,0.06322774611875744,Very weak,718.3562402385347,True,1.5629802884079223e-07,True
Streaming Movies,26.25133601003847,1,2.9974738476267514e-07,0.061381548015187026,Very weak,724.9904870083772,True,3.425684397287716e-07,True
Multiple Lines,11.143251001456251,1,0.0008433795342472428,0.04010212769982617,Very weak,788.4138861280704,True,0.0009200504009969922,True
Phone Service,0.9150329892546948,1,0.3387825358066928,0.011941980029003072,Very weak,180.98225188130058,True,0.35351221127654897,False
Gender,0.4840828822091383,1,0.48657873605618596,0.008612095078997826,Very weak,925.6101093284112,True,0.48657873605618596,False
