Feature,Recommendation,Selection_Reason,Mutual_Information,Statistical_Test,Adjusted_P_Value,Effect_Size_Value,Effect_Size_Type
Contract,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.09845305342598942,Chi-square,7.035645960808069e-257,0.4101156965761409,Cramer's V
Fiber_Monthly_Risk,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.08301716556730215,Chi-square,3.924525905088924e-268,0.4182920551078242,Cramer's V
Tenure Months,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.07438718194726768,Welch t-test + Mann-Whitney U,4.7819781890428605e-232,-0.8522498343478222,Cohen's d
New_Monthly_Customer,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.05866262997764887,Chi-square,4.803426000187634e-192,0.3532240877834759,Cramer's V
Internet Service,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.05557418477268879,Chi-square,3.281755962116758e-159,0.32245455521230887,Cramer's V
New_High_Spend,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.0531027823656372,Chi-square,1.8240314417361057e-187,0.3490268680426405,Cramer's V
Monthly Charges,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.04695972449861241,Welch t-test + Mann-Whitney U,1.14565991087294e-72,0.446283496963266,Cohen's d
Total Charges,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.04417956345656515,Welch t-test + Mann-Whitney U,1.1805161218144252e-74,-0.45821305166036236,Cohen's d
Dependents,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.03774552025932554,Chi-square,6.669259732947616e-96,0.2485422264232831,Cramer's V
Payment Method,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.022886294578149308,Chi-square,7.266894173486271e-69,0.2099020635913274,Cramer's V
Paperless Billing,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.019194399646111526,Chi-square,8.14670933733197e-58,0.1918253316664679,Cramer's V
Security_Tech_Bundle,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.01741481091452001,Chi-square,4.393623046408436e-46,0.170707028679764,Cramer's V
Online Security,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.01588472344572582,Chi-square,2.27464335344862e-46,0.1712262919485527,Cramer's V
Tech Support,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.014608433235833523,Chi-square,4.6777079125025214e-43,0.1646735559015938,Cramer's V
Partner,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.011453657253317984,Chi-square,3.021051309283756e-36,0.15044754495917653,Cramer's V
Senior Citizen,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.010577263953987642,Chi-square,2.2651002076385668e-36,0.1508893281764731,Cramer's V
Online Backup,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.003460013309972698,Chi-square,8.285457076339758e-12,0.08225486893814254,Cramer's V
Device Protection,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.0022275263339957274,Chi-square,4.188244070353088e-08,0.06615979128028988,Cramer's V
Streaming TV,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.0019809037063357182,Chi-square,1.5629802884079223e-07,0.06322774611875744,Cramer's V
Streaming Movies,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.001867919867873713,Chi-square,3.425684397287716e-07,0.061381548015187026,Cramer's V
Multiple Lines,Keep - Core,Retained based on statistical/business relevance and/or useful interaction information.,0.0008009687297055867,Chi-square,0.0009200504009969922,0.04010212769982617,Cramer's V
Is_Month_to_Month,Optional / BI,"Useful engineered segmentation feature, but derived from a source variable already retained in the core model; avoid unnecessary redundancy in linear models.",0.09188659243287013,Chi-square,4.918068740439354e-252,0.40510291068798987,Cramer's V
Tenure_Band,Optional / BI,"Useful engineered segmentation feature, but derived from a source variable already retained in the core model; avoid unnecessary redundancy in linear models.",0.06633192141241498,Chi-square,1.197560461774019e-198,0.362859201765909,Cramer's V
Is_New_Customer,Optional / BI,"Useful engineered segmentation feature, but derived from a source variable already retained in the core model; avoid unnecessary redundancy in linear models.",0.04806303885858704,Chi-square,1.1040222020942132e-155,0.3175800722020233,Cramer's V
Support_Service_Count,Optional / BI,"Useful engineered segmentation feature, but derived from a source variable already retained in the core model; avoid unnecessary redundancy in linear models.",0.027183078610762218,Welch t-test + Mann-Whitney U,5.372602273597038e-63,-0.3979059971369863,Cohen's d
High_Monthly_Charge,Optional / BI,"Useful engineered segmentation feature, but derived from a source variable already retained in the core model; avoid unnecessary redundancy in linear models.",0.01923585496258723,Chi-square,1.5891491111644574e-59,0.1947693291804561,Cramer's V
Phone Service,Low Priority,Weak or non-significant standalone association with churn in this dataset.,7.215949186982484e-05,Chi-square,0.35351221127654897,0.011941980029003072,Cramer's V
Gender,Low Priority,Weak or non-significant standalone association with churn in this dataset.,3.7082914405128786e-05,Chi-square,0.48657873605618596,0.008612095078997826,Cramer's V
