Feature,Mutual_Information
Contract,0.09845305342598942
Is_Month_to_Month,0.09188659243287013
Fiber_Monthly_Risk,0.08301716556730215
Tenure Months,0.07438718194726768
Tenure_Band,0.06633192141241498
New_Monthly_Customer,0.05866262997764887
Internet Service,0.05557418477268879
New_High_Spend,0.0531027823656372
Is_New_Customer,0.04806303885858704
Monthly Charges,0.04695972449861241
Total Charges,0.04417956345656515
Dependents,0.03774552025932554
Support_Service_Count,0.027183078610762218
Payment Method,0.022886294578149308
High_Monthly_Charge,0.01923585496258723
Paperless Billing,0.019194399646111526
Security_Tech_Bundle,0.01741481091452001
Online Security,0.01588472344572582
Tech Support,0.014608433235833523
Partner,0.011453657253317984
Senior Citizen,0.010577263953987642
Online Backup,0.003460013309972698
Device Protection,0.0022275263339957274
Streaming TV,0.0019809037063357182
Streaming Movies,0.001867919867873713
Multiple Lines,0.0008009687297055867
Phone Service,7.215949186982484e-05
Gender,3.7082914405128786e-05
