Encoded_Feature,VIF
Online Backup,inf
Tenure_Band_49+,inf
Device Protection,inf
Online Security,inf
Tech Support,inf
Is_New_Customer,inf
Contract_One year,inf
Support_Service_Count,inf
Is_Month_to_Month,inf
Tenure_Band_25-48,inf
Contract_Two year,inf
Tenure_Band_13-24,inf
Monthly Charges,874.7254014897406
Internet Service_Fiber optic,150.8353854078198
Internet Service_No,105.02725475323219
Phone Service,34.982016737423216
Tenure Months,34.28284149592037
Streaming Movies,24.169188313046178
Streaming TV,24.10967346515414
Total Charges,21.169140132210376
New_Monthly_Customer,11.728921698040729
Multiple Lines,7.293201286610352
Fiber_Monthly_Risk,6.516262843207904
High_Monthly_Charge,6.098901490755045
New_High_Spend,3.4783543676944326
Security_Tech_Bundle,3.337906233215019
Tenure_Band_7-12,1.5846080788522712
Partner,1.3494986156593982
Dependents,1.2529758156341848
Payment Method,1.2160322972776703
Paperless Billing,1.2061380801305601
Senior Citizen,1.135912741570503
Gender_Male,1.0034666610173602
