model_name,metric,cv_mean,cv_std,train_mean,train_std,fold_scores,train_cv_gap,parameter_strategy,best_params
XGBoost_Initial,accuracy,0.8072,0.009,0.8407,0.0027,"[np.float64(0.8048), np.float64(0.7924), np.float64(0.8075), np.float64(0.8119), np.float64(0.8197)]",0.0335,reference_defaults,"n_estimators=100, learning_rate=0.1, max_depth=4"
XGBoost_Initial,precision,0.6648,0.026,0.7356,0.0043,"[np.float64(0.6513), np.float64(0.6316), np.float64(0.6627), np.float64(0.668), np.float64(0.7105)]",0.0708,reference_defaults,"n_estimators=100, learning_rate=0.1, max_depth=4"
XGBoost_Initial,recall,0.5538,0.0201,0.6242,0.0109,"[np.float64(0.5686), np.float64(0.5217), np.float64(0.5585), np.float64(0.5786), np.float64(0.5418)]",0.0704,reference_defaults,"n_estimators=100, learning_rate=0.1, max_depth=4"
XGBoost_Initial,f1,0.6039,0.017,0.6753,0.0074,"[np.float64(0.6071), np.float64(0.5714), np.float64(0.6062), np.float64(0.6201), np.float64(0.6148)]",0.0714,reference_defaults,"n_estimators=100, learning_rate=0.1, max_depth=4"
XGBoost_Initial,roc_auc,0.8582,0.0094,0.9065,0.0016,"[np.float64(0.8571), np.float64(0.8425), np.float64(0.8556), np.float64(0.8669), np.float64(0.8688)]",0.0483,reference_defaults,"n_estimators=100, learning_rate=0.1, max_depth=4"
XGBoost_Tuned,accuracy,0.8117,0.0133,0.8241,0.0035,"[np.float64(0.8083), np.float64(0.787), np.float64(0.8199), np.float64(0.8199), np.float64(0.8233)]",0.0124,RandomizedSearchCV_n40,"{'classifier__subsample': 0.85, 'classifier__reg_lambda': 1.5, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}"
XGBoost_Tuned,precision,0.672,0.0337,0.7008,0.0056,"[np.float64(0.6602), np.float64(0.6139), np.float64(0.6951), np.float64(0.6791), np.float64(0.7119)]",0.0288,RandomizedSearchCV_n40,"{'classifier__subsample': 0.85, 'classifier__reg_lambda': 1.5, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}"
XGBoost_Tuned,recall,0.5692,0.0246,0.5883,0.0135,"[np.float64(0.5719), np.float64(0.5318), np.float64(0.5719), np.float64(0.6087), np.float64(0.5619)]",0.0191,RandomizedSearchCV_n40,"{'classifier__subsample': 0.85, 'classifier__reg_lambda': 1.5, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}"
XGBoost_Tuned,f1,0.6161,0.0249,0.6396,0.0097,"[np.float64(0.6129), np.float64(0.5699), np.float64(0.6275), np.float64(0.642), np.float64(0.628)]",0.0235,RandomizedSearchCV_n40,"{'classifier__subsample': 0.85, 'classifier__reg_lambda': 1.5, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}"
XGBoost_Tuned,roc_auc,0.8631,0.0105,0.8799,0.0026,"[np.float64(0.8598), np.float64(0.8473), np.float64(0.8591), np.float64(0.8724), np.float64(0.8769)]",0.0168,RandomizedSearchCV_n40,"{'classifier__subsample': 0.85, 'classifier__reg_lambda': 1.5, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.03, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}"
