Feature,Mean_Abs_SHAP,Coefficient,Direction,SHAP_Rank
Tenure Months,0.5834995667028303,-0.6551168212619283,Reduces Churn,1
Dependents,0.5378124662519768,-0.6380070139492203,Reduces Churn,2
Internet Service_Fiber optic,0.45058473461663023,0.9145211985825701,Increases Churn,3
Contract_Month-to-month,0.3494272286519451,0.7059683727003335,Increases Churn,4
Internet Service_No,0.3361494805699665,-0.9902852446079927,Reduces Churn,5
New_Monthly_Customer,0.28064862216372816,0.31147654219109083,Increases Churn,6
Contract_Two year,0.2686558908543411,-0.7350563738931467,Reduces Churn,7
Monthly Charges,0.17319884173837868,-0.1987327868391225,Reduces Churn,8
Streaming Movies,0.17273541169183684,0.17724733464470413,Increases Churn,9
Streaming TV,0.17159521643296702,0.17637787459129184,Increases Churn,10
Paperless Billing,0.16418667404119863,0.16705261770243365,Increases Churn,11
Online Security,0.15707771271119922,-0.1736797904882042,Reduces Churn,12
Tech Support,0.15669134227494466,-0.172619827991425,Reduces Churn,13
Multiple Lines,0.141002486539773,0.1427576050745522,Increases Churn,14
Partner,0.13343570013097003,0.1335125950684351,Increases Churn,15
Payment Method,0.11890615312165567,-0.11991351979681175,Reduces Churn,16
Total Charges,0.11536749743991725,0.13769206625904343,Increases Churn,17
Security_Tech_Bundle,0.07338619242150603,0.10111225624001893,Increases Churn,18
Senior Citizen,0.0425108772724028,0.057667603107403084,Increases Churn,19
Internet Service_DSL,0.030165835549744054,0.06686148370589517,Increases Churn,20
Online Backup,0.02916895746607651,-0.030682874762435912,Reduces Churn,21
Fiber_Monthly_Risk,0.01511526811643717,0.01645871689299645,Increases Churn,22
New_High_Spend,0.008929758926491957,-0.01381890311688576,Reduces Churn,23
Contract_One year,0.006677451728973337,0.02018543887331288,Increases Churn,24
Device Protection,0.0027810714587640584,-0.002927418325277714,Reduces Churn,25
